min_cluster_size,min_samples,n_clusters,silhouette,purity,noise_ratio,dbcv
2,1,9,0.6557,1.0,0.0,0.6286
2,2,8,0.6741,1.0,0.0,0.6346
2,3,6,0.7333,0.8571,0.0,0.7132
2,5,6,0.7333,0.8571,0.0,0.7132
3,1,8,0.6741,1.0,0.0,0.6346
3,2,8,0.6741,1.0,0.0,0.6346
3,3,6,0.7333,0.8571,0.0,0.7132
3,5,6,0.7333,0.8571,0.0,0.7132
5,1,7,0.6508,0.9464,0.0,0.5836
5,2,6,0.7333,0.8571,0.0,0.7132
5,3,6,0.7333,0.8571,0.0,0.7132
5,5,6,0.7333,0.8571,0.0,0.7132
7,1,6,0.7333,0.8571,0.0,0.7132
7,2,6,0.7333,0.8571,0.0,0.7132
7,3,6,0.7333,0.8571,0.0,0.7132
7,5,4,0.8456,0.5714,0.0,0.8606
10,1,3,0.8466,0.4286,0.0,0.7991
10,2,3,0.8466,0.4286,0.0,0.7991
10,3,3,0.8466,0.4286,0.0,0.7991
10,5,3,0.8466,0.4286,0.0,0.7991
